#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2021 12 01 08 20  27  0.4  1.7 99.00 99.00 99.00 999 1017.3  12.5  15.5  12.5 99.0 99.00 
2021 12 01 08 30  92  1.0  2.7 99.00 99.00 99.00 999 1017.2  12.6  15.5  12.6 99.0 99.00 
2021 12 01 08 40  77  0.6  2.0  1.17 16.00  8.22 272 1017.1  12.5  15.5  12.5 99.0 99.00 
2021 12 01 08 50  44  0.6  1.8 99.00 99.00 99.00 999 1017.1  12.4  15.4  12.4 99.0 99.00 
2021 12 01 09 00  31  0.2  1.3 99.00 99.00 99.00 999 1017.0  12.3  15.4  12.3 99.0 99.00 
2021 12 01 09 10  92  1.0  1.9 99.00 99.00 99.00 999 1017.0  12.2  15.4  12.2 99.0 99.00 
2021 12 01 09 20 144  0.9  2.2 99.00 99.00 99.00 999 1017.1  12.1  15.4  12.0 99.0 99.00 
2021 12 01 09 30 164  1.3  2.3 99.00 99.00 99.00 999 1017.0  11.8  15.4  11.7 99.0 99.00 
2021 12 01 09 40 161  2.0  3.2  1.01 16.00  7.92 233 1017.0  11.8  15.4  11.7 99.0 99.00 
2021 12 01 09 50 163  2.7  3.8 99.00 99.00 99.00 999 1017.0  11.8  15.4  11.8 99.0 99.00 
2021 12 01 10 00 177  2.1  3.3 99.00 99.00 99.00 999 1016.9  11.8  15.4  11.8 99.0 99.00 
2021 12 01 10 10 188  1.2  2.2 99.00 99.00 99.00 999 1017.0  11.9  15.4  11.9 99.0 99.00 
2021 12 01 10 20 185  1.8  2.4 99.00 99.00 99.00 999 1017.0  12.2  15.4  12.2 99.0 99.00 
2021 12 01 10 30 200  1.7  2.7 99.00 99.00 99.00 999 1017.0  12.4  15.4  12.4 99.0 99.00 
2021 12 01 10 40 225  1.5  2.8  1.06 14.81  8.31 266 1017.0  12.6  15.4  12.6 99.0 99.00 
2021 12 01 10 50 210  1.8  2.7 99.00 99.00 99.00 999 1017.1  12.6  15.4  12.6 99.0 99.00 
2021 12 01 11 00 222  1.4  2.5 99.00 99.00 99.00 999 1017.1  12.5  15.4  12.5 99.0 99.00 
2021 12 01 11 10 262  0.5  1.4 99.00 99.00 99.00 999 1017.1  12.5  15.4  12.5 99.0 99.00 
2021 12 01 11 20 323  0.2  1.1 99.00 99.00 99.00 999 1017.2  12.5  15.4  12.5 99.0 99.00 
2021 12 01 11 30 354  1.3  2.0 99.00 99.00 99.00 999 1017.2  12.5  15.4  12.5 99.0 99.00 
2021 12 01 11 40 359  1.3  1.9  1.08 14.81  7.97 287 1017.2  12.5  15.4  12.5 99.0 99.00 
2021 12 01 11 50 353  1.5  2.2 99.00 99.00 99.00 999 1017.1  12.5  15.4  12.5 99.0 99.00 
2021 12 01 12 00 346  1.5  2.4 99.00 99.00 99.00 999 1017.1  12.6  15.4  12.6 99.0 99.00 
2021 12 01 12 10 336  1.5  2.5 99.00 99.00 99.00 999 1017.1  12.6  15.4  12.6 99.0 99.00 
2021 12 01 12 20 324  1.1  2.0 99.00 99.00 99.00 999 1017.1  12.5  15.4  12.5 99.0 99.00 
2021 12 01 12 30 307  1.2  2.2 99.00 99.00 99.00 999 1017.1  12.4  15.4  12.4 99.0 99.00 
2021 12 01 12 40 296  1.1  2.2  1.11 13.79  7.80 268 1017.3  12.5  15.4  12.5 99.0 99.00 
2021 12 01 12 50 328  0.6  1.7 99.00 99.00 99.00 999 1017.4  12.5  15.4  12.5 99.0 99.00 
2021 12 01 13 00  29  0.7  2.3 99.00 99.00 99.00 999 1017.5  12.4 999.0  12.4 99.0 99.00 
2021 12 01 13 10  29  1.0  1.9 99.00 99.00 99.00 999 1017.5  12.2  15.4  12.1 99.0 99.00 
2021 12 01 13 20  34  1.3  2.4 99.00 99.00 99.00 999 1017.6  12.0  15.4  11.9 99.0 99.00 
2021 12 01 13 30  17  0.7  1.7 99.00 99.00 99.00 999 1017.7  11.8  15.3  11.7 99.0 99.00 
2021 12 01 13 40  35  0.7  2.1  1.15 14.81  7.73 277 1017.9  11.7  15.3  11.6 99.0 99.00 
2021 12 01 13 50  53  0.7  2.1 99.00 99.00 99.00 999 1017.9  11.6  15.3  11.5 99.0 99.00 
2021 12 01 14 00  73  1.1  2.3 99.00 99.00 99.00 999 1018.1  11.5  15.3  11.4 99.0 99.00 
2021 12 01 14 10  69  1.4  2.4 99.00 99.00 99.00 999 1018.2  11.5  15.3  11.5 99.0 99.00 
2021 12 01 14 20  59  1.3  2.4 99.00 99.00 99.00 999 1018.1  11.6  15.3  11.6 99.0 99.00 
2021 12 01 14 30  48  1.4  3.0 99.00 99.00 99.00 999 1018.1  11.6  15.3  11.6 99.0 99.00 
2021 12 01 14 40  53  2.5  4.2  1.35 14.81  9.06 280 1018.2  11.7  15.3  11.7 99.0 99.00 
2021 12 01 14 50  57  3.1  4.6 99.00 99.00 99.00 999 1018.3  11.9  15.3  11.9 99.0 99.00 
2021 12 01 15 00  60  3.1  4.5 99.00 99.00 99.00 999 1018.3  12.3  15.4  12.3 99.0 99.00 
2021 12 01 15 10  67  3.0  4.5 99.00 99.00 99.00 999 1018.4  12.6  15.4  12.6 99.0 99.00 
2021 12 01 15 20  73  3.2  5.1 99.00 99.00 99.00 999 1018.6  12.9  15.4  12.9 99.0 99.00 
2021 12 01 15 30  78  4.1  5.6 99.00 99.00 99.00 999 1018.7  12.8  15.4  12.8 99.0 99.00 
2021 12 01 15 40  84  4.6  6.6  1.30 13.79  8.99 256 1018.9  12.7  15.4  12.7 99.0 99.00 
2021 12 01 15 50  83  4.7  6.1 99.00 99.00 99.00 999 1018.9  12.6  15.5  12.6 99.0 99.00 
2021 12 01 16 00  85  4.7  6.1 99.00 99.00 99.00 999 1019.0  12.6  15.5  12.6 99.0 99.00 
2021 12 01 16 10  78  4.4  5.6 99.00 99.00 99.00 999 1019.1  12.7  15.5  12.7 99.0 99.00 
2021 12 01 16 20  79  4.6  6.3 99.00 99.00 99.00 999 1019.3  12.7  15.4  12.7 99.0 99.00 
2021 12 01 16 30  84  5.0  6.6 99.00 99.00 99.00 999 1019.3  12.7  15.4  12.7 99.0 99.00 
2021 12 01 16 40  85  5.2  7.0  1.13 12.90  7.06 272 1019.5  12.6  15.4  12.6 99.0 99.00 
2021 12 01 16 50  84  5.1  6.7 99.00 99.00 99.00 999 1019.5  12.6  15.4  12.6 99.0 99.00 
2021 12 01 17 00  85  4.8  6.6 99.00 99.00 99.00 999 1019.5  12.7  15.4  12.7 99.0 99.00 
2021 12 01 17 10  83  5.4  7.3 99.00 99.00 99.00 999 1019.7  12.6  15.4  12.6 99.0 99.00 
2021 12 01 17 20  76  5.3  6.5 99.00 99.00 99.00 999 1019.8  12.5  15.4  12.5 99.0 99.00 
2021 12 01 17 30  84  4.9  6.4 99.00 99.00 99.00 999 1019.8  12.5  15.4  12.5 99.0 99.00 
